,ProductName,ProductDescription,ProductIngredients,ProductPrice,href
0,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,"Neutrogena Hydro Boost Hyaluronic Acid Water Gel. This lightweight water gel is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids and Electrolytes to deliver 5x more hydration* and help stregthen the skin's moisture barrier. Restores vitality for refresh, plump, glowing skin.  Neutrogena Hydro Boost Hyaluronic Acid Water Gel. This lightweight water gel is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids and Electrolytes to deliver 5x more hydration* and help strengthen the skin's moisture barrier. Restores vitality for refresh, plump, glowing skin.With 1% Natural Moisturising Factor Complex - Natural Moisturising Factor (NMF) is skin's natural moisturising ingredients that help maintain skin hydration and elasticity. NMF gets depleted with age and exposure to external aggressors. Supercharged with NMF complex that mimics skin's natural hydration for refreshed, plump, glowing skin- Hyaluronic Acid helps to retain water to the skin for long lasting hydration- Amino Acids help support and strength skin's moisture barrier- Electrolytes known to boost ingredient absorption.Tested with visible resultsImmediately:- 97% agreed skin feels hydrated- 86% agreed skin feels smootherIn 4 weeks:- 67% agreed leaves skin glowing- 67% agreed skin feels plump- 67% agreed skin looks healthy.*compared to untreated control. Suitable For:  All skin types Product Claims:  1% Natural Moisturising Factor Complex: Hyaluronic Acid, Amino Acids and Electrolytes Gentle on skin: Dermatologist tested. Suitable for all skin types. Kind to planet: 100% recyclable outer packaging. Reuse jar thanks to our NEW Hydro Boost® refill pods. Neutrogena® Hydro Boost® Hyaluronic Acid Water GelThis lightweight water gel is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids and Electrolytes to deliver 5x more hydration* and help strengthen the skin's moisture barrier. Restores vitality for refreshed, plump, glowing skin.*Compared to untreated control Tested with visible results:Immediately97% agreed skin feels hydrated86% agreed skin feels smootherIn 4 weeks67% agreed skin feels plump67% agreed leaves skin glowing67% agreed skin looks healthy This is a refillable jar, compatible with our NEW Hydro Boost® refill pod. RECOMMENDED REGIMEN:Cleanse + Treat + Moisturise + SPF Protection Natural Moisturising Factor (NMF) is skin's natural Moisturising ingredients that help maintain skin hydration and elasticity. NMF gets depleted with age and exposure to external aggressors.Supercharged with NMF complex that mimics skin's natural hydration for refreshed, plump, glowing skinHyaluronic acid helps to retain water to the skin for long lasting hydrationAmino acids help support and strengthen skin's moisture barrierElectrolytes known to boost ingredient absorption INTENSELY HYDRATING, LIGHTWEIGHT, REPLUMPING WATER GELDelivers 5x more hydration* for refreshed, plump glowing skin Size:  50g Fragrance:  AAK1474600 Riverena 2021 Shelf Life in Days:  1095 days KEY FEATURES  • Delivers 5x more hydration • Helps to strengthen the skin's moisture barrier. • Dermatologist tested. Suitable for all skin types. • 100% recyclable outer packaging.","Ingredients
Water, Glycerin, Dimethicone, Cetearyl Olivate, Sorbitan Olivate, Polyacrylate Crosspolymer-6, Betaine, Caprylyl Glycol, Synthetic Beeswax, Ethylhexylglycerin, Pentylene Glycol, Sodium PCA, Fructose, Dimethicone Crosspolymer, Sodium Hyaluronate, Dimethiconol, Sodium Lactate, Urea, Citric Acid, PCA, Fragrance, Sodium Hydroxide, Maltose, Serine, Alanine, Glycine, Sodium Chloride, Trehalose, Allantoin, Glutamic Acid, Lysine HCl, Threonine, Arginine, Glucose, Proline, CI 42090",$20.99$14.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/119014/neutrogena-hydro-boost-hyaluronic-acid-water-gel-50g
1,Neutrogena Hydro Boost Hyaluronic Acid Serum 30mL,"Neutrogena Hydro Boost Hyaluronic Acid Serum instantly quenches for visibly smooth and supple skin. No added fragrance. 17% hydrating complex for smooth supple skin.  Neutrogena® Hydro Boost™ Hyaluronic Acid SerumOur unique formula with bursting hyaluronic pearls delivering our most concentrated hydrating serum yet. Infused with glycerin that delivers moisture 9 cell layers deep into the outer layer of the skin, to reveal smooth and supple skin.This light-weight hyaluronic acid serum contains 17% hydration complex that quickly absorbs into your skin.Infused with micro + macro hyaluronic acid to hydrate deeper into the skin surface, while pro-vitamin B5 and prebiotic technology help boost skin renewal and recovery, for healthy looking skin.17% hydration complex2 Sizes of Hyaluronic AcidPrebiotic TechnologyPro-Vitamin B5Barrier Boost Sugar ComplexGlycerinUnlock 4x the hydrating ingredients (compared to Hydro Boost Water gel alone) with the 3 step Hydro Boost Regime:1. CleanseHydro BoostWater Gel Cleanser2. BoostHydro BoostHyaluronic Acid Serum3. HydrateHydro Boost Water GelNon-comedogenicHypoallergenicSuitable for dry, sensitive skinNo added fragranceNo added parabensNo added mineral oil Hello Hydration Suitable For:  Suitable for dry, sensitive skin. Product Claims:  front:2 SIZES OFHYALURONIC ACID back:Instantly quenches for visibly smooth and supple skinFragrance free ¦ No added parabens or mineral oilNon-comedogenic ¦ Hypoallergenic5th panel:17% hydrating complex for smooth supple skinPREBIOTICS front:US DERMATOLOGIST RECOMMENDED BRAND NO ADDED FRAGRANCE instantly quenches for visiblysmooth and supple skin2 SIZES OF HA +B5 + PREBIOTICTECHNOLOGY right side:Non-comedogenicHypoallergenicSuitable for dry,sensitive skin No Added FragranceNo Added ParabensNo Added Mineral Oil back:Our unique formula with bursting hyaluronic pearls delivering our most concentrated hydrating serumyet. Infused with glycerin that delivers moisture 9cell layers deep into the outer layer of the skin, to reveal smooth and supple skin.This light-weight hyaluronic acid serum contains 17% hydration complex that quickly absorbs into your skin. Infused with micro + macro hyaluronic acid to hydrate deeper into the skin surface, while pro-vitamin B5 and prebiotic technology help boost skin renewal and recovery, for healthy looking skin.  17% HYDRATION COMPLEX2 Sizes of Hyaluronic AcidPrebiotic TechnologyPro-Vitamin B5Barrier Boost Sugar ComplexGlycerin left side:Unlock 4x the hydrating ingredients* with the 3 step Hydro Boost Regime:*compared to Hydro Boost Water Gel alone1. CLEANSEHydro BoostWater Gel Cleanser2. BOOSTHydro BoostHyaluronic Acid Serum3. HYDRATEHydro Boost Water Gel Size:  30mL Fragrance:  No Shelf Life in Days:  1095 days KEY FEATURES  • Hyaluronic Acid • 30mL Serum • 17% Hydrating Complex","Ingredients
Ingredients: Water, Glycerin, Butylene Glycol, Panthenol, Pentylene Glycol, Phenoxyethanol, Chlorphenesin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trehalose, Xylitylglucoside, Sodium Hyaluronate, Anhydroxylitol, Disodium EDTA, Sodium Hydroxide, Yeast Extract, Xylitol, Hydrolyzed Hyaluronic Acid, Caprylyl Glycol, Carrageenan, CI 77007, Agar, Potassium Chloride, CI 77891, Mica, Xanthan Gum Contains:  Dye/Colour, Preservatives, Sugar/Sweetener",$20.99$14.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/111105/neutrogena-hydro-boost-hyaluronic-acid-serum-30ml
2,Neutrogena Night Calming Makeup Remover Cleansing Towelettes Wipes 25 Pack,"Neutrogena Makeup Remover Cleansing Towelettes are ultra soft nourishing cloths which gently dissolves all traces of makeup, even waterproof mascara.Gentle, ultra-soft calming cloths offer you superior cleansing and makeup removal while releasing a relaxing aroma.Clear away your makeup after a stressful day...- Gently and effectively dissolve all traces of dirt, oil and make-up.- Unique calming fragrance helps you unwind and prepares you for a good night's sleep.- Patented cleansing technology is so effective, it easily removes waterproof mascara.- Leaves skin thoroughly clean with no heavy residue, so there's no need to rinse.- Gentle enough to use around sensitive eye area, even for contact lens wearers.- Ophthalmologist tested - Dermatologist tested - Allergy tested - Alcohol free. Suitable For:  Daily use Boxed Contents:  25 Pack Size:  25 pack Fragrance:  Yes: Shelf Life in Days:  913 days KEY FEATURES  • Gently and effectively dissolve all traces of dirt, oil and make-up. • Unique calming fragrance helps you unwind and prepares you for a good night's sleep. • Patented cleansing technology is so effective, it easily removes waterproof mascara. • Leaves skin thoroughly clean with no heavy residue, so there's no need to rinse. • Gentle enough to use around sensitive eye area, even for contact lens wearers.","Ingredients
Water, Cyclopentasiloxane, Isononyl Isononanoate, Isostearyl Palmitate, Pentaerythrityl Tetraethylhexanoate, Cetyl Ethylhexanoate, Hexylene Glycol, PEG-6 Caprylic/Capric Glycerides, Phenoxyethanol, Fragrance, Sucrose Cocoate, Carbomer, Sodium Hydroxide, PEG-4 Laurate, Benzoic Acid, Dehydroacetic Acid, Iodopropynyl Butylcarbamate, Ethylhexyglycerin, Polyaminopropyl Biguanide. Contains:  Fragrance, Preservatives",$4.99$3.51 Off RRP!,https://www.chemistwarehouse.com.au/buy/67565/neutrogena-night-calming-makeup-remover-cleansing-towelettes-wipes-25-pack
3,Neutrogena Hydro Boost Hyaluronic Acid Water Gel 50g,"Neutrogena Hydro Boost Hyaluronic Acid Water Gel. This lightweight water gel is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids and Electrolytes to deliver 5x more hydration* and help stregthen the skin's moisture barrier. Restores vitality for refresh, plump, glowing skin.  Neutrogena Hydro Boost Hyaluronic Acid Water Gel. This lightweight water gel is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids and Electrolytes to deliver 5x more hydration* and help strengthen the skin's moisture barrier. Restores vitality for refresh, plump, glowing skin.With 1% Natural Moisturising Factor Complex - Natural Moisturising Factor (NMF) is skin's natural moisturising ingredients that help maintain skin hydration and elasticity. NMF gets depleted with age and exposure to external aggressors. Supercharged with NMF complex that mimics skin's natural hydration for refreshed, plump, glowing skin- Hyaluronic Acid helps to retain water to the skin for long lasting hydration- Amino Acids help support and strength skin's moisture barrier- Electrolytes known to boost ingredient absorption.Tested with visible resultsImmediately:- 97% agreed skin feels hydrated- 86% agreed skin feels smootherIn 4 weeks:- 67% agreed leaves skin glowing- 67% agreed skin feels plump- 67% agreed skin looks healthy.*compared to untreated control. Suitable For:  All skin types Product Claims:  1% Natural Moisturising Factor Complex: Hyaluronic Acid, Amino Acids and Electrolytes Gentle on skin: Dermatologist tested. Suitable for all skin types. Kind to planet: 100% recyclable outer packaging. Reuse jar thanks to our NEW Hydro Boost® refill pods. Neutrogena® Hydro Boost® Hyaluronic Acid Water GelThis lightweight water gel is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids and Electrolytes to deliver 5x more hydration* and help strengthen the skin's moisture barrier. Restores vitality for refreshed, plump, glowing skin.*Compared to untreated control Tested with visible results:Immediately97% agreed skin feels hydrated86% agreed skin feels smootherIn 4 weeks67% agreed skin feels plump67% agreed leaves skin glowing67% agreed skin looks healthy This is a refillable jar, compatible with our NEW Hydro Boost® refill pod. RECOMMENDED REGIMEN:Cleanse + Treat + Moisturise + SPF Protection Natural Moisturising Factor (NMF) is skin's natural Moisturising ingredients that help maintain skin hydration and elasticity. NMF gets depleted with age and exposure to external aggressors.Supercharged with NMF complex that mimics skin's natural hydration for refreshed, plump, glowing skinHyaluronic acid helps to retain water to the skin for long lasting hydrationAmino acids help support and strengthen skin's moisture barrierElectrolytes known to boost ingredient absorption INTENSELY HYDRATING, LIGHTWEIGHT, REPLUMPING WATER GELDelivers 5x more hydration* for refreshed, plump glowing skin Size:  50g Fragrance:  AAK1474600 Riverena 2021 Shelf Life in Days:  1095 days KEY FEATURES  • Delivers 5x more hydration • Helps to strengthen the skin's moisture barrier. • Dermatologist tested. Suitable for all skin types. • 100% recyclable outer packaging.","Ingredients
Water, Glycerin, Dimethicone, Cetearyl Olivate, Sorbitan Olivate, Polyacrylate Crosspolymer-6, Betaine, Caprylyl Glycol, Synthetic Beeswax, Ethylhexylglycerin, Pentylene Glycol, Sodium PCA, Fructose, Dimethicone Crosspolymer, Sodium Hyaluronate, Dimethiconol, Sodium Lactate, Urea, Citric Acid, PCA, Fragrance, Sodium Hydroxide, Maltose, Serine, Alanine, Glycine, Sodium Chloride, Trehalose, Allantoin, Glutamic Acid, Lysine HCl, Threonine, Arginine, Glucose, Proline, CI 42090",$20.99$14.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/119014/neutrogena-hydro-boost-hyaluronic-acid-water-gel-50g
4,Neutrogena Makeup Remover Cleansing Towelettes Wipes 25 Pack,"Neutrogena Makeup Remover Cleansing Towelettes, ultra-soft cloths patented formula dissolves all traces of makeup even waterproof mascara  Neutrogena Makeup Remover Cleansing TowelettesGentle, ultra-soft cloths offer you superior cleansing and makeup removal at your fingertips.- Gently and effectively dissolves all traces of dirt, oil and makeup in seconds.- Patented formula is so effective, it easily removes even waterproof mascara.- Leaves skin thoroughly clean with no heavy residue, so there's no need to rinse.Ophthalmologist tested - Dermatologist tested - Allergy tested - Alcohol free Suitable For:  Daily use Size:  19 x 18.5cm Fragrance:  Yes: Product contains fragrance Shelf Life in Days:  913 days","Ingredients
Water, Cetyl Ethylhexanoate, Isostearyl Palmitate, Pentaerythrityl Tetraethylhexanoate, Cyclopentasiloxane, Hexylene Glycol, PEG-4 Laurate, PEG-6 Caprylic/Capric Glycerides, Sucrose Cocoate, Carbomer, Sodium Hydroxide, Benzoic Acid, Dehydroacetic Acid, Phenoxyethanol, Iodopropynyl Butylcarbarnate, Fragrance (EU 1279) Contains:  Fragrance, Preservatives",$4.99$3.51 Off RRP!,https://www.chemistwarehouse.com.au/buy/54091/neutrogena-makeup-remover-cleansing-towelettes-wipes-25-pack
5,Neutrogena Hydro Boost Hyaluronic Acid Mask 5 Pack,"Neutrogena Hydro Boost Mask for intense hydration.  Now in a biodegradable fabric, Neutrogena Hydro Boost Hydrating Mask is clinically proven to provide instant hydration that lasts for 12 hours so skin looks hydrated, radiant and glowing. Our innovative progressive release technology effectively replenishes and retains hydration. After the mask is removed the concentrated formula works beneath the skin to continuously hydrate throughout the night. Infused with Purified Hyaluronic Acid to constantly deliver moisture to the skin and lock in hydration from within, and Anti-oxidant Olive extract to leave the skin looking smooth and soft. The plant-based fabric has 25% more retention of essence (vs old fabric) and provides 4x more Hyaluronic Acid than our Hydro Boost Serum for an intensified moisture boost*.With a unique fabric contour design, created to stretch and closely hug your facial contours. Non comedogenic tested Dermatologist tested Fragrance free Mineral oil fee Alcohol free*vs one application of Hydro Boost Serum Product Claims:  front:DERMATOLOGIST TESTEDINFUSED WITHPURIFIEDHYALURONICACIDinstant hydration that lasts for 12 hours back:Neutrogena® Hydro Boost MaskNeutrogena® Hydro Boost is clinically proven to provide long lasting moisture so skin looks hydrated, radiant and glowing, so now your skin can be at its best. Our innovative progressive release technology effectively replenishes and retains hydration all day long. Anti-oxidant olive extract formula: Repairs skin barrier damaged by the environment Purified hyaluronic acid: Constantly pumps and locks in hydration from within Mask boosts moisture and continuously provides long-lasting hydration. The natural fabric has 25% more retention of essence (vs old fabric) and delivers it deeply and abundantly into your skin. Non comedogenic testedDermatologist testedFragrance freeMineral oil freeAlcohol freeleft side:AntioxidantOlive Extract PurifiedHyaluronic Acid GlycerinFlexible fabric contoursto face shaperight side:RECOMMENDEDROUTINEfor best resultsCleanserDaily: Hydro BoostWater Gel CleanserHydrateDaily: Hydro BoostWater GelBoostOne to three times aweek: Hydro BoostHydrating Mask Size:  5 x sheet masks Shelf Life in Days:  1095 days","Ingredients
Ingredients: Water, Butylene Glycol, Glycerin, Polyacrylate-13, Methylparaben, Benzyl Alcohol, Xanthan Gum, Polyisobutene, Ethylparaben, PEG-60 Hydrogenated Castor Oil, Triethylhexanoin, Dipotassium Glycyrrhizate, Sodium Citrate, BHT, Polysorbate 20, Sodium Hydroxide, Sodium Hyaluronate, Sodium Myristoyl Glutamate, Cetearyl Olivate, Citric Acid, Sorbitan Olivate",$14.99$10.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/76284/neutrogena-hydro-boost-hyaluronic-acid-mask-5-pack
6,Neutrogena T/Gel Therapeutic Shampoo 200mL,"Neutrogena T/Gel Therapeutic Shampoo uses a therapeutic formula to fight itchy flaky scalp. T/Gel Therapeutic Shampoo helps control Psoriasis, Seborrhoeic Dermatitis and Dandruff and has a pleasant fragrance. Fights itchy flaky scalp Neutrogena T/Gel Shampoo is effective as a therapeutic treatment to help control the scalp itching and flaking symptomatic of scalp psoriasis, eczema, seborrhoeic dermatitis and even common dandruff. Clear, amber T/Gel is pleasant to use and gentle to your hair. T/Gel is uniquely formulated to have a pleasant fragrance, the rich lather helps treat itchy, flaky scalp, and leaves hair clean, soft and manageable.   Suitable For:  Helps control Psoriasis, Seborrhoeic, Dermatitis, Dandruff Boxed Contents:  1 Size:  200mL Shelf Life in Days:  1065 days","Ingredients
Neutar Solubilised Coal Tar Extract 2% (equivalent to 0.5% w/v Coal Tar) in a mild shampoo base. Contains:  Contains as preservatives: Diazolidinyl Urea 0.10% w/v, Methyl Hydroxybenzoate 0.04% w/v, Propyl Hydroxybenzoate 0.01% w/v.",$12.99$2.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/6562/neutrogena-t-gel-therapeutic-shampoo-200ml
7,Neutrogena Hydro Boost Hyaluronic Acid Night Cream 50g,"Neutrogena Hydro Boost Hyaluronic Acid Night Cream. This intensely hydrating and firming night cream is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids, Electrolytes and Peptide to deliver 5x more hydration* and help stregthen the skin's moisture barrier while you sleep. Uniquely formulated with peptide to support skin's natural night-time reneal process and help improve firmness and elasticity. Restores vitality for refreshed, plump, glowing skin.  Neutrogena Hydro Boost Hyaluronic Acid Night Cream. This intensely hydrating and firming night cream is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids, Electrolytes and Peptide to deliver 5x more hydration* and help strengthen the skin's moisture barrier while you sleep. Uniquely formulated with peptide to support skin's natural night-time renewal process and help improve firmness and elasticity. Restores vitality for refreshed, plump, glowing skin.With 1% Natural Moisturising Factor Complex - Natural Moisturising Factor (NMF) is skin's natural moisturising ingredients that help maintain skin hydration and elasticity. NMF gets depleted with age and exposure to external aggressors. Supercharged with NMF complex that mimics skin's natural hydration for refreshed, plump, glowing skin- Hyaluronic Acid helps to retain water to the skin for long lasting hydration- Amino Acids help support and strength skin's moisture barrier- Electrolytes known to boost ingredient absorption.- Peptide helps improve skin firmness and elasticity.Tested with visible resultsImmediately:- 92% agreed skin feels hydrated- 80% agreed skin feels refreshedIn 4 weeks:- 94% agreed skin feels smoother.- 87% agreed leaves skin glowing.- 74% agreed appearance of dry lines reduced.*compared to untreated control. Product Claims:  1% Natural Moisturising Factor Complex: Hyaluronic Acid, Amino Acids, Electrolytes and Peptide Gentle on skin: Dermatologist tested. Designed for all skin types. Clinically tested to be suitable for dry and sensitive skinKind to planet: 100% recyclable outer packaging. Neutrogena® Hydro Boost® Hyaluronic Acid Night CreamThis intensely hydrating and firming night cream is supercharged with skin-friendly ingredients - Hyaluronic Acid, Amino Acids, Electrolytes and Peptide to deliver 5x more hydration* and help strengthen the skin's moisture barrier while you sleep. Uniquely formulated with peptide to support skin's natural night-time renewal process and help improve firmness and elasticity. Restores vitality for refreshed, plump, glowing skin.*Compared to untreated control Tested with visible results:Immediately92% agreed skin feels hydrated80% agreed skin feels refreshedIn 4 weeks87% agreed leaves skin glowing74% agreed appearance of dry lines reduced94% agreed skin feels smoother RECOMMENDED REGIMEN:Cleanse + Treat + Moisturise Natural Moisturising Factor (NMF) is skin's natural Moisturising ingredients that help maintain skin hydration and elasticity. NMF gets depleted with age and exposure to external aggressors. Supercharged with NMF complex that mimics skin's natural hydration for refreshed, plump, glowing skinHyaluronic acid helps to retain water to the skin for long lasting hydrationAmino acids help support and strengthen skin's moisture barrierElectrolytes known to boost ingredient absorptionPeptide helps improve skin firmness and elasticity INTENSELY HYDRATING, REVITALISING AND FIRMINGNIGHT CREAMOvernight hydrating repair for firmer-looking, bouncy, glowing skin Size:  50g Shelf Life in Days:  1095 days KEY FEATURES  • Intensely hydrating and firming night cream • Delivers 5x more hydration • Helps to strengthen the skin's moisture barrier. • Dermatologist tested. Suitable for all skin types. Clinically tested to be suitable for dry and sensitive skin. • 100% recyclable outer packaging.","Ingredients
Water, Glycerin, Isopropyl Palmitate, Cetyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Caprylyl Glycol, Ethylhexylglycerin, Betaine, Dimethicone, Palmitic Acid, Stearic Acid, Polyacrylate Crosspolymer-6, Pentylene Glycol, Sodium PCA, Carnosine, Fructose, Sodium Hyaluronate, Sodium Lactate, Urea, Citric Acid, PCA, 1,2-Hexanediol, Sodium Hydroxide, Fragrance, Maltose, Serine, Alanine, Sodium Chloride, Trehalose, Glycine, Allantoin, Glutamic Acid, Lysine HCl, Threonine, Arginine, Tropolone, Glucose, Proline",$20.99$14.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/119016/neutrogena-hydro-boost-hyaluronic-acid-night-cream-50g
8,Neutrogena Oil Free Eye Makeup Remover 112ml,"Neutrogena Oil-Free Eye Make-Up Remover is effective & gentle, removes even waterproof mascara with no oily residue. Neutrogena oil-free eye make-up removerThis dual-phase 100% oil-free liquid activates when shaken to gently whisk away even waterproof eye make-up without any tugging, pulling or stinging. Your skin is left feeling clean and fresh with no oily residue. Aloe and Cucumber extracts soothe skin.Dermatologist Developed - Ophthalmologist Tested Size:  112mL Shelf Life in Days:  1095 days","Ingredients
Cyclopentasiloxane, Water, Cyclohexasiloxane, Aloe Barbadensis Leaf Juice, Benzyl Alcohol, Sodium Chloride, Dipropylene Glycol, Poloxamer 182, Allantoin, Tripotassium EDTA, Benzalkonium Chloride, Glycerin, Cucumber (Cucumis Sativus) Fruit Extract, Potassium Phosphate, Dipotassium Phosphate.",$8.99$6.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/53842/neutrogena-oil-free-eye-makeup-remover-112ml
9,Neutrogena Beach Defence Sunscreen Spray SPF 50 184g,"Neutrogena Beach Defence Spray forms a protective layer that helps to defend against the drying effects of the beach. With Helioplex it provides high broad spectrum UVA/UVB protection from the sun's most damaging rays.Formulated to be:- Lightweight, fast absorbing.- Oil free.- 4 hours water resistant.Made in Australia Neutrogena® Beach Defence™ forms a protective barrier that helps to defend against the drying effects of the beach. With Helioplex® technology it provides high broad spectrum UVA/UVB protection from the sun's most damaging rays. Suitable For:  Normal skin Product Claims:  SPF 504hrs water resistantBroad spectrum UVA + UVBMade in Australia logoNEUTROGENA® Beach Defence® Spray forms a protective layer that helps to defend against the drying effects of the beach. With Helioplex(R) it provides high broad spectrum UVA/UVB protection from the sun's most damaging rays. Formulated to be:- Lightweight, fast-absorbing- Oil free- 4 hours water resistant Boxed Contents:  1.0 Size:  184g Fragrance:  Yes Shelf Life in Days:  730 days","Ingredients
Active ingredients: Homosalate 15% w/w, Octocrylene 6% w/w, Octyl Salicylate 5% w/w, Butyl Methoxydibenzoylmethane 5% w/wContains: Alcohol 59.07% v/vPropellant: Hydrocarbon Active Ingredients:  HomosalateOctyl SalicylateOctocryleneButyl Methoxydibenzoylmethane Contains:  Alcohol 59.07% v/v, Benzoates. PROPELLANT: Hydrocarbon.",$11.99$8.01 Off RRP!,https://www.chemistwarehouse.com.au/buy/69428/neutrogena-beach-defence-sunscreen-spray-spf-50-184g
